time,open,high,low,close,volume
2026-08-20T20:00:00+00:00,4528.79,4529.3,4516.7,4519.36,6151
2026-08-20T22:00:00+00:00,4520.29,4524.54,4516.78,4524.32,6232
2026-08-20T23:00:00+00:00,4524.03,4532.86,4520.84,4526.18,8242
2026-08-21T00:00:00+00:00,4526.15,4527.64,4509.9,4510.57,11382
2026-08-21T01:00:00+00:00,4510.58,4543.98,4508.97,4530.79,13959
2026-08-21T02:00:00+00:00,4530.72,4542.87,4518.11,4533.62,11742
2026-08-21T03:00:00+00:00,4533.57,4538.47,4526.67,4535.3,9720
2026-08-21T04:00:00+00:00,4535.6,4548.05,4535.29,4540.75,8573
2026-08-21T05:00:00+00:00,4540.75,4556.45,4529.04,4553.57,10577
2026-08-21T06:00:00+00:00,4553.55,4567.76,4545.46,4560.97,12129
2026-08-21T07:00:00+00:00,4560.98,4568.12,4558.53,4564.31,10461
2026-08-21T08:00:00+00:00,4564.3,4585.09,4559.09,4584.03,11544
2026-08-21T09:00:00+00:00,4584.03,4602.03,4580.32,4582.63,11346
2026-08-21T10:00:00+00:00,4582.67,4594.14,4577.79,4588.5,10579
2026-08-21T11:00:00+00:00,4588.5,4604.66,4587.11,4597.17,12145
2026-08-21T12:00:00+00:00,4597.44,4601.76,4563.52,4578.13,13144
2026-08-21T13:00:00+00:00,4578.06,4593.16,4573.34,4581.03,15108
2026-08-21T14:00:00+00:00,4580.97,4603.76,4579.88,4591.68,15608
2026-08-21T15:00:00+00:00,4591.68,4615.32,4587.27,4614.68,14455
2026-08-21T16:00:00+00:00,4614.71,4629.16,4609.07,4628.86,13530
2026-08-21T17:00:00+00:00,4628.92,4632.36,4615.37,4620.67,12729
2026-08-21T18:00:00+00:00,4620.67,4627.84,4619.47,4624.56,10003
2026-08-21T19:00:00+00:00,4624.55,4625.62,4615.78,4617.22,10914
2026-08-21T20:00:00+00:00,4617.1,4617.86,4603.17,4605.11,7098
2026-08-23T22:00:00+00:00,4623.47,4623.76,4605.98,4606.05,8247
2026-08-23T23:00:00+00:00,4606.05,4624.75,4604.71,4623.96,8655
2026-08-24T00:00:00+00:00,4624.28,4640.86,4594.64,4621.86,14005
2026-08-24T01:00:00+00:00,4621.87,4637.69,4608.02,4632.11,14943
2026-08-24T02:00:00+00:00,4632.15,4656.59,4627.42,4643.84,14338
2026-08-24T03:00:00+00:00,4643.93,4650.19,4633.39,4641.75,11661
2026-08-24T04:00:00+00:00,4641.77,4642.7,4632.47,4638.8,10197
2026-08-24T05:00:00+00:00,4638.82,4646.61,4629.71,4640.87,12194
2026-08-24T06:00:00+00:00,4640.93,4659.99,4639.23,4650.02,14023
2026-08-24T07:00:00+00:00,4650.0,4654.76,4630.19,4641.57,12655
2026-08-24T08:00:00+00:00,4641.79,4646.22,4628.77,4637.94,12135
2026-08-24T09:00:00+00:00,4637.86,4646.1,4632.81,4645.95,10478
2026-08-24T10:00:00+00:00,4646.01,4650.18,4641.79,4643.47,10666
2026-08-24T11:00:00+00:00,4643.47,4670.06,4639.19,4658.04,12755
2026-08-24T12:00:00+00:00,4658.03,4668.7,4645.36,4663.02,13278
