time,open,high,low,close,volume
2026-09-13T23:30:00+00:00,4339.49,4342.08,4337.8,4337.85,2652
2026-09-13T23:45:00+00:00,4337.86,4338.43,4331.64,4332.94,2935
2026-09-14T00:00:00+00:00,4332.7,4347.58,4330.14,4342.85,3479
2026-09-14T00:15:00+00:00,4342.85,4345.21,4333.04,4337.82,3309
2026-09-14T00:30:00+00:00,4338.07,4340.72,4332.04,4338.0,3042
2026-09-14T00:45:00+00:00,4338.0,4343.43,4337.35,4338.82,3060
2026-09-14T01:00:00+00:00,4338.89,4344.81,4329.39,4331.78,4095
2026-09-14T01:15:00+00:00,4331.7,4338.08,4326.0,4335.51,3771
2026-09-14T01:30:00+00:00,4335.51,4346.79,4328.27,4342.31,3607
2026-09-14T01:45:00+00:00,4342.39,4355.4,4342.38,4353.25,3412
2026-09-14T02:00:00+00:00,4353.18,4355.13,4348.35,4349.16,3097
2026-09-14T02:15:00+00:00,4349.16,4354.24,4348.09,4352.37,2358
2026-09-14T02:30:00+00:00,4353.22,4355.58,4343.17,4345.54,3361
2026-09-14T02:45:00+00:00,4345.44,4348.36,4330.06,4330.97,3138
2026-09-14T03:00:00+00:00,4330.87,4336.25,4327.23,4333.53,3054
2026-09-14T03:15:00+00:00,4333.56,4336.57,4332.07,4334.96,2500
2026-09-14T03:30:00+00:00,4334.99,4335.33,4327.15,4329.02,2450
2026-09-14T03:45:00+00:00,4329.01,4333.55,4328.53,4330.5,2174
2026-09-14T04:00:00+00:00,4330.46,4331.9,4328.96,4328.96,2192
2026-09-14T04:15:00+00:00,4328.97,4331.79,4328.78,4331.55,1918
2026-09-14T04:30:00+00:00,4331.57,4331.75,4323.37,4323.37,2457
2026-09-14T04:45:00+00:00,4323.39,4331.69,4321.94,4329.7,2482
2026-09-14T05:00:00+00:00,4329.64,4332.77,4326.35,4330.82,2630
2026-09-14T05:15:00+00:00,4331.05,4332.18,4326.31,4327.16,2205
2026-09-14T05:30:00+00:00,4326.48,4337.17,4325.3,4331.07,3563
2026-09-14T05:45:00+00:00,4331.11,4337.63,4323.35,4337.54,3299
2026-09-14T06:00:00+00:00,4337.55,4338.79,4327.05,4329.92,3292
2026-09-14T06:15:00+00:00,4329.92,4332.68,4326.8,4330.29,2947
2026-09-14T06:30:00+00:00,4330.3,4332.6,4325.06,4327.44,2937
2026-09-14T06:45:00+00:00,4327.44,4329.72,4320.6,4322.26,3095
2026-09-14T07:00:00+00:00,4322.28,4324.57,4317.55,4324.01,3356
2026-09-14T07:15:00+00:00,4324.1,4324.28,4316.24,4317.0,3086
2026-09-14T07:30:00+00:00,4316.95,4319.56,4315.59,4319.13,2927
2026-09-14T07:45:00+00:00,4319.25,4322.04,4307.89,4310.89,3138
2026-09-14T08:00:00+00:00,4310.97,4318.28,4310.64,4313.23,3313
2026-09-14T08:15:00+00:00,4313.18,4314.62,4310.1,4310.46,3075
2026-09-14T08:30:00+00:00,4310.22,4316.31,4309.63,4311.85,3126
2026-09-14T08:45:00+00:00,4311.84,4313.59,4303.18,4306.64,3065
2026-09-14T09:00:00+00:00,4306.65,4311.83,4304.98,4305.84,3016
2026-09-14T09:15:00+00:00,4305.76,4306.12,4280.33,4288.15,3634
2026-09-14T09:30:00+00:00,4288.09,4289.7,4279.13,4281.55,3507
2026-09-14T09:45:00+00:00,4281.42,4288.47,4278.3,4285.35,3314
2026-09-14T10:00:00+00:00,4285.31,4289.57,4278.19,4288.5,3188
2026-09-14T10:15:00+00:00,4288.42,4292.84,4285.63,4291.05,2928
2026-09-14T10:30:00+00:00,4291.04,4295.07,4289.0,4293.81,2658
2026-09-14T10:45:00+00:00,4293.85,4296.68,4289.87,4294.68,2710
2026-09-14T11:00:00+00:00,4294.65,4296.99,4291.06,4292.02,3037
2026-09-14T11:15:00+00:00,4292.06,4296.94,4291.04,4296.25,2536
2026-09-14T11:30:00+00:00,4296.25,4297.02,4292.05,4292.24,2850
2026-09-14T11:45:00+00:00,4292.25,4294.0,4284.4,4287.07,2916
2026-09-14T12:00:00+00:00,4287.11,4296.93,4284.95,4294.85,3285
2026-09-14T12:15:00+00:00,4295.01,4297.86,4283.79,4286.12,3577
2026-09-14T12:30:00+00:00,4285.97,4289.84,4273.44,4283.55,3969
